started_at,finished_at,job_id,status,exit_code,duration_sec,host,pid
2026-09-06T00:00:02+0900,2026-09-06T00:00:03+0900,deadman-check,SUCCESS,0,1,ops01,10318
2026-09-06T00:00:08+0900,2026-09-06T00:00:19+0900,health-check,SUCCESS,0,11,ops01,10030
2026-09-06T00:05:08+0900,2026-09-06T00:05:20+0900,health-check,SUCCESS,0,12,ops01,10031
2026-09-06T00:10:02+0900,2026-09-06T00:10:03+0900,deadman-check,SUCCESS,0,1,ops01,10319
2026-09-06T00:10:02+0900,2026-09-06T00:10:05+0900,health-check,SUCCESS,0,3,ops01,10032
2026-09-06T00:15:01+0900,2026-09-06T00:15:03+0900,user-sync,SUCCESS,0,2,ops01,10006
2026-09-06T00:15:07+0900,2026-09-06T00:15:14+0900,health-check,SUCCESS,0,7,ops01,10033
2026-09-06T00:20:02+0900,2026-09-06T00:20:03+0900,deadman-check,SUCCESS,0,1,ops01,10320
2026-09-06T00:20:04+0900,2026-09-06T00:20:08+0900,health-check,SUCCESS,0,4,ops01,10034
2026-09-06T00:25:07+0900,2026-09-06T00:25:17+0900,health-check,SUCCESS,0,10,ops01,10035
2026-09-06T00:30:02+0900,2026-09-06T00:30:03+0900,deadman-check,SUCCESS,0,1,ops01,10321
2026-09-06T00:30:05+0900,2026-09-06T00:30:08+0900,health-check,SUCCESS,0,3,ops01,10036
2026-09-06T00:35:07+0900,2026-09-06T00:35:17+0900,health-check,SUCCESS,0,10,ops01,10037
2026-09-06T00:40:02+0900,2026-09-06T00:40:03+0900,deadman-check,SUCCESS,0,1,ops01,10322
2026-09-06T00:40:05+0900,2026-09-06T00:40:15+0900,health-check,SUCCESS,0,10,ops01,10038
2026-09-06T00:45:04+0900,2026-09-06T00:45:11+0900,health-check,SUCCESS,0,7,ops01,10039
2026-09-06T00:50:02+0900,2026-09-06T00:50:03+0900,deadman-check,SUCCESS,0,1,ops01,10323
2026-09-06T00:50:04+0900,2026-09-06T00:50:07+0900,health-check,SUCCESS,0,3,ops01,10040
2026-09-06T00:55:08+0900,2026-09-06T00:55:13+0900,health-check,SUCCESS,0,5,ops01,10041
2026-09-06T01:00:02+0900,2026-09-06T01:00:03+0900,deadman-check,SUCCESS,0,1,ops01,10324
2026-09-06T01:00:01+0900,2026-09-06T01:00:09+0900,health-check,SUCCESS,0,8,ops01,10042
2026-09-06T01:05:07+0900,2026-09-06T01:05:14+0900,health-check,SUCCESS,0,7,ops01,10043
2026-09-06T01:10:02+0900,2026-09-06T01:10:03+0900,deadman-check,SUCCESS,0,1,ops01,10325
2026-09-06T01:10:08+0900,2026-09-06T01:10:20+0900,health-check,SUCCESS,0,12,ops01,10044
2026-09-06T01:15:01+0900,2026-09-06T01:15:03+0900,user-sync,SUCCESS,0,2,ops01,10007
2026-09-06T01:15:02+0900,2026-09-06T01:15:14+0900,health-check,SUCCESS,0,12,ops01,10045
2026-09-06T01:20:02+0900,2026-09-06T01:20:03+0900,deadman-check,SUCCESS,0,1,ops01,10326
2026-09-06T01:20:02+0900,2026-09-06T01:20:12+0900,health-check,SUCCESS,0,10,ops01,10046
2026-09-06T01:25:05+0900,2026-09-06T01:25:13+0900,health-check,SUCCESS,0,8,ops01,10047
2026-09-06T01:30:02+0900,2026-09-06T01:30:03+0900,deadman-check,SUCCESS,0,1,ops01,10327
2026-09-06T01:30:02+0900,2026-09-06T01:30:09+0900,db-dump,FAILED,1,7,ops01,10002
2026-09-06T01:30:07+0900,2026-09-06T01:30:15+0900,health-check,SUCCESS,0,8,ops01,10048
2026-09-06T01:35:02+0900,2026-09-06T01:35:12+0900,health-check,SUCCESS,0,10,ops01,10049
2026-09-06T01:40:02+0900,2026-09-06T01:40:03+0900,deadman-check,SUCCESS,0,1,ops01,10328
2026-09-06T01:40:02+0900,2026-09-06T01:40:13+0900,health-check,SUCCESS,0,11,ops01,10050
2026-09-06T01:45:07+0900,2026-09-06T01:45:10+0900,health-check,SUCCESS,0,3,ops01,10051
2026-09-06T01:50:02+0900,2026-09-06T01:50:03+0900,deadman-check,SUCCESS,0,1,ops01,10329
2026-09-06T01:50:07+0900,2026-09-06T01:50:16+0900,health-check,SUCCESS,0,9,ops01,10052
2026-09-06T01:55:02+0900,2026-09-06T01:55:09+0900,health-check,SUCCESS,0,7,ops01,10053
2026-09-06T02:00:02+0900,2026-09-06T02:00:03+0900,deadman-check,SUCCESS,0,1,ops01,10330
2026-09-06T02:00:02+0900,2026-09-06T02:00:07+0900,health-check,SUCCESS,0,5,ops01,10054
2026-09-06T02:05:05+0900,2026-09-06T02:05:14+0900,health-check,SUCCESS,0,9,ops01,10055
2026-09-06T02:10:02+0900,2026-09-06T02:10:03+0900,deadman-check,SUCCESS,0,1,ops01,10331
2026-09-06T02:10:01+0900,2026-09-06T02:10:12+0900,health-check,SUCCESS,0,11,ops01,10056
2026-09-06T02:15:01+0900,2026-09-06T02:15:05+0900,user-sync,SUCCESS,0,4,ops01,10008
2026-09-06T02:15:06+0900,2026-09-06T02:15:14+0900,health-check,SUCCESS,0,8,ops01,10057
2026-09-06T02:20:02+0900,2026-09-06T02:20:03+0900,deadman-check,SUCCESS,0,1,ops01,10332
2026-09-06T02:20:07+0900,2026-09-06T02:20:10+0900,health-check,SUCCESS,0,3,ops01,10058
2026-09-06T02:25:04+0900,2026-09-06T02:25:13+0900,health-check,SUCCESS,0,9,ops01,10059
2026-09-06T02:30:02+0900,2026-09-06T02:30:03+0900,deadman-check,SUCCESS,0,1,ops01,10333
2026-09-06T02:30:02+0900,2026-09-06T02:30:12+0900,health-check,SUCCESS,0,10,ops01,10060
2026-09-06T02:35:05+0900,2026-09-06T02:35:16+0900,health-check,SUCCESS,0,11,ops01,10061
2026-09-06T02:40:02+0900,2026-09-06T02:40:03+0900,deadman-check,SUCCESS,0,1,ops01,10334
2026-09-06T02:40:03+0900,2026-09-06T02:40:11+0900,health-check,SUCCESS,0,8,ops01,10062
2026-09-06T02:45:07+0900,2026-09-06T02:45:19+0900,health-check,SUCCESS,0,12,ops01,10063
2026-09-06T02:50:02+0900,2026-09-06T02:50:03+0900,deadman-check,SUCCESS,0,1,ops01,10335
2026-09-06T02:50:02+0900,2026-09-06T02:50:13+0900,health-check,SUCCESS,0,11,ops01,10064
2026-09-06T02:55:08+0900,2026-09-06T02:55:14+0900,health-check,SUCCESS,0,6,ops01,10065
2026-09-06T03:00:02+0900,2026-09-06T03:00:03+0900,deadman-check,SUCCESS,0,1,ops01,10336
2026-09-06T03:00:05+0900,2026-09-06T03:00:08+0900,health-check,SUCCESS,0,3,ops01,10066
2026-09-06T03:00:01+0900,2026-09-06T03:00:43+0900,backup-daily,SUCCESS,0,42,ops01,10001
2026-09-06T03:05:06+0900,2026-09-06T03:05:16+0900,health-check,SUCCESS,0,10,ops01,10067
2026-09-06T03:10:02+0900,2026-09-06T03:10:03+0900,deadman-check,SUCCESS,0,1,ops01,10337
2026-09-06T03:10:02+0900,2026-09-06T03:10:14+0900,health-check,SUCCESS,0,12,ops01,10068
2026-09-06T03:15:01+0900,2026-09-06T03:15:05+0900,user-sync,SUCCESS,0,4,ops01,10009
2026-09-06T03:15:02+0900,2026-09-06T03:15:10+0900,health-check,SUCCESS,0,8,ops01,10069
2026-09-06T03:20:02+0900,2026-09-06T03:20:03+0900,deadman-check,SUCCESS,0,1,ops01,10338
2026-09-06T03:20:02+0900,2026-09-06T03:20:08+0900,health-check,SUCCESS,0,6,ops01,10070
2026-09-06T03:25:01+0900,2026-09-06T03:25:04+0900,health-check,SUCCESS,0,3,ops01,10071
2026-09-06T03:30:02+0900,2026-09-06T03:30:03+0900,deadman-check,SUCCESS,0,1,ops01,10339
2026-09-06T03:30:02+0900,2026-09-06T03:30:09+0900,health-check,SUCCESS,0,7,ops01,10072
2026-09-06T03:35:07+0900,2026-09-06T03:35:16+0900,health-check,SUCCESS,0,9,ops01,10073
2026-09-06T03:40:02+0900,2026-09-06T03:40:03+0900,deadman-check,SUCCESS,0,1,ops01,10340
2026-09-06T03:40:08+0900,2026-09-06T03:40:18+0900,health-check,SUCCESS,0,10,ops01,10074
2026-09-06T03:45:02+0900,2026-09-06T03:45:13+0900,health-check,SUCCESS,0,11,ops01,10075
2026-09-06T03:50:02+0900,2026-09-06T03:50:03+0900,deadman-check,SUCCESS,0,1,ops01,10341
2026-09-06T03:50:03+0900,2026-09-06T03:50:14+0900,health-check,SUCCESS,0,11,ops01,10076
2026-09-06T03:55:07+0900,2026-09-06T03:55:14+0900,health-check,SUCCESS,0,7,ops01,10077
